,0
0,2.3032862205778954
1,164.33285522460938
2,241.8654022216797
3,161.47494506835938
4,201.7100067138672
5,219.22244262695312
6,194.6499938964844
7,49.41545486450195
8,165.580810546875
9,99.57547760009766
10,326.59368896484375
11,284.6356506347656
12,192.26559448242188
13,122.46006774902344
14,31.45018768310547
15,160.89183044433594
16,135.93629455566406
17,61.59048843383789
18,282.6061096191406
19,99.4096221923828
20,112.9512176513672
21,283.8106994628906
22,124.25336456298828
23,147.25564575195312
24,164.7113494873047
25,504.0081481933594
26,232.1980438232422
27,37.09939193725586
28,33.011356353759766
29,48.94956970214844
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,100.0
36,101.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,1.0
43,0.0
44,0.0
45,100.0
46,100.0
47,0.0
48,100.0
49,200.0
50,109.0
51,37.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,2.964684894154857
60,3.856442842552184
61,-1.2859647665160026
62,1.2182946635205385
63,-3.4522689075426456
64,3.880240665276745
65,0.4628372490570243
66,2.506319683943417
67,0.4851216834894956
68,-1.1031707872750758
69,-0.5669100010798047
70,0.2119755041343012
71,0.0589944162267386
72,1.1440831824599125
73,2.587356514274404
74,-0.4616808667781811
75,0.7808172309484291
76,5.12105540152146
77,-0.5329912838242592
78,2.0453041081597405
79,6.4790846314339205
80,1.0732828379316004
81,2.5297898137531263
82,-1.043667476382808
83,11.301175976512296
84,2.6147287740386673
85,0.4607586890934811
86,0.3495866499606848
87,0.779027619845202
88,167.08571492947203
89,250.20139913343957
90,163.85316725520477
91,219.30596271727907
92,225.51778527704928
93,200.5809258116197
94,51.16354249987972
95,169.5898267143457
96,102.51043042000688
97,326.7801686548238
98,290.8497146646074
99,192.0070407549659
100,128.17026458793575
101,34.089179972170214
102,164.27444813738228
103,131.1894826373189
104,62.44373006637048
105,285.592234364833
106,99.98256679379048
107,114.11176812326664
108,291.83280828054757
109,124.89997926986048
110,150.32784275859746
111,171.93412246527535
112,524.7119375239945
113,232.05666391576764
114,38.20866912089918
115,34.829646980481805
116,50.67315593702853
117,153.85818613253969
118,219.0048951170487
119,155.1643559381546
120,194.7420368554748
121,206.02544134648585
122,183.44807504287257
123,47.92010160412419
124,143.90466181104495
125,92.19799548331343
126,295.7466166234965
127,271.45058745941606
128,180.3748760541161
129,117.42935699409551
130,27.178034993650105
131,141.5607325266802
132,119.7838556805522
133,58.171059514928345
134,258.38290296426857
135,93.9954300323814
136,98.47768957937006
137,267.8209453815618
138,115.32189496720008
139,138.38879237323846
140,159.63293380913873
141,442.0158334720993
142,213.908022668705
143,33.934061973461176
144,29.63222206859046
145,45.33037914292752
146,60.02059482278999
147,54.145585841582864
148,49.933755876533155
149,48.39678916562842
150,47.02951369644452
151,60.7481874773235
152,54.95883442826262
153,55.97433101739297
154,51.067767501455975
155,50.33674342568691
156,47.529252502087125
157,51.394846973396376
158,45.61674657571584
159,58.74028585584964
160,57.8475960701473
161,56.41848173846018
162,60.43387517346365
163,65.9085700330331
