date,ticker,money,price,shares,total ,fees,sharpe
2024-01-03,AAPL,100000.0,124.21629333496094,0,0.0,0.00,
2024-01-03,AMGN,100000.0,250.92349243164065,0,0.0,0.00,
2024-01-03,AXP,100000.0,144.50897216796875,0,0.0,0.00,
2024-01-03,BA,100000.0,195.38999938964844,0,0.0,0.00,
2024-01-03,CAT,100000.0,233.00831604003903,0,0.0,0.00,
2024-01-03,CRM,100000.0,134.77999877929688,0,0.0,0.00,
2024-01-03,CSCO,100000.0,46.155059814453125,0,0.0,0.00,
2024-01-03,CVX,100000.0,165.60519409179688,0,0.0,0.00,
2024-01-03,DIS,100000.0,88.68098449707031,0,0.0,0.00,
2024-01-03,GS,100000.0,333.2226867675781,0,0.0,0.00,
2024-01-03,HD,100000.0,305.5298767089844,0,0.0,0.00,
2024-01-03,HON,100000.0,208.5241851806641,0,0.0,0.00,
2024-01-03,IBM,100000.0,133.6342010498047,0,0.0,0.00,
2024-01-03,INTC,100000.0,26.04400634765625,0,0.0,0.00,
2024-01-03,JNJ,100000.0,171.63885498046875,0,0.0,0.00,
2024-01-03,JPM,100000.0,130.40475463867188,0,0.0,0.00,
2024-01-03,KO,100000.0,61.024715423583984,0,0.0,0.00,
2024-01-03,MCD,100000.0,257.0157775878906,0,0.0,0.00,
2024-01-03,MMM,100000.0,113.60126495361328,0,0.0,0.00,
2024-01-03,MRK,100000.0,108.1148681640625,0,0.0,0.00,
2024-01-03,MSFT,100000.0,237.03602600097656,0,0.0,0.00,
2024-01-03,NKE,100000.0,116.81727600097656,0,0.0,0.00,
2024-01-03,PG,100000.0,146.8897705078125,0,0.0,0.00,
2024-01-03,TRV,100000.0,182.0962677001953,0,0.0,0.00,
2024-01-03,UNH,100000.0,508.9412841796875,0,0.0,0.00,
2024-01-03,V,100000.0,205.3731231689453,0,0.0,0.00,
2024-01-03,VZ,100000.0,36.75505828857422,0,0.0,0.00,
2024-01-03,WBA,100000.0,34.30513000488281,0,0.0,0.00,
2024-01-03,WMT,100000.0,47.14754104614258,0,0.0,0.00,
2024-01-04,AAPL,44.607139678980275,125.49749755859376,100,12549.749755859377,99.86,
2024-01-04,AMGN,44.607139678980275,253.5511932373047,0,0.0,99.86,
2024-01-04,AXP,44.607139678980275,147.8682861328125,0,0.0,99.86,
2024-01-04,BA,44.607139678980275,203.63999938964844,0,0.0,99.86,
